Area/SCP,isNA,IDna,IDnz,IDct,IZna,ODna,ODnz,ODct,OZna,IDnzPct,ODnzPct,IZnaPct,OZnaPct
"('N116', '00-03-01')",0,0,14903,15052,0,0,14976,15052,0,0.9901009832580387,0.99495083709806,0.0,0.0
"('PTH06', '00-00-02')",0,0,12005,12190,0,0,12132,12190,0,0.9848236259228876,0.9952420016406892,0.0,0.0
"('R194', '00-03-00')",0,0,434,14869,0,0,1,14869,0,0.0291882439975788,6.725401842760106e-05,0.0,0.0
"('N137', '00-06-01')",0,0,19,1737,0,0,457,1737,0,0.0109383995394358,0.2630972941853771,0.0,0.0
"('C009', '03-05-00')",0,0,2466,14981,0,0,1,14981,0,0.1646085041051999,6.675121820973233e-05,0.0,0.0
"('J003', '00-00-00')",0,0,14154,14323,0,0,14209,14323,0,0.988200795922642,0.9920407735809535,0.0,0.0
"('R514', '00-06-01')",0,0,2831,3563,0,0,3313,3563,0,0.7945551501543643,0.9298344092057256,0.0,0.0
"('R284', '00-00-01')",0,0,14706,14904,0,0,14860,14904,0,0.9867149758454108,0.9970477724100912,0.0,0.0
"('N121B', '00-00-00')",0,0,14808,14904,0,0,14876,14904,0,0.9935587761674718,0.9981213097155126,0.0,0.0
"('N135', '01-05-00')",14754,0,659,14754,0,0,0,14754,14754,0.044665853327911,0.0,0.0,1.0
"('R240', '00-03-09')",0,0,2994,3690,0,0,3331,3690,0,0.8113821138211382,0.902710027100271,0.0,0.0
"('N114', '01-00-00')",0,0,14366,14883,0,0,14857,14883,0,0.9652623798965262,0.9982530403816436,0.0,0.0
"('N094', '01-03-05')",0,0,6616,7978,0,0,6769,7978,0,0.8292805214339434,0.8484582602155929,0.0,0.0
"('R188', '00-00-03')",0,0,19,27,0,0,20,27,0,0.7037037037037037,0.7407407407407407,0.0,0.0
"('R169', '01-00-01')",0,0,14716,14995,0,0,14895,14995,0,0.9813937979326444,0.9933311103701232,0.0,0.0
"('N324', '00-00-00')",0,0,14900,15611,0,0,15219,15611,0,0.9544551918518992,0.9748895009928896,0.0,0.0
"('E014', '00-05-00')",14958,0,1529,14958,0,0,0,14958,14958,0.1022195480679235,0.0,0.0,1.0
"('R417', '00-03-01')",0,0,14641,14959,0,0,14891,14959,0,0.9787418945116652,0.9954542415936894,0.0,0.0
"('PTH16', '01-01-07')",0,0,13306,13966,0,0,13749,13966,0,0.9527423743376772,0.9844622655019332,0.0,0.0
