       area  unit       scp station    lines  div        desc        i        o                  dt
2733435  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR  11323067  2223716 2019-02-19 16:00:00
2733436  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459313       75 2019-02-19 20:00:00
2733437  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT  RECOVR AUD  11323692  2223781 2019-02-19 20:00:00
2733438  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459613       93 2019-02-20 00:00:00
2733439  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT  RECOVR AUD  11324221  2223790 2019-02-20 00:00:00
2733440  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459624       94 2019-02-20 04:00:00
2733441  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT  RECOVR AUD  11324271  2223791 2019-02-20 04:00:00
2733442  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459708      117 2019-02-20 08:00:00
2733443  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT  RECOVR AUD  11324332  2223805 2019-02-20 08:00:00
2733444  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR  11324762  2223898 2019-02-20 12:00:00
2733445  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT  RECOVR AUD    459864      266 2019-02-20 12:00:00
2733446  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459864      472 2019-02-20 16:00:00
2733447  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT  RECOVR AUD  11325330  2223957 2019-02-20 16:00:00
2733448  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459864      578 2019-02-20 20:00:00
2733449  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT  RECOVR AUD  11326296  2224027 2019-02-20 20:00:00
2733450  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459864      595 2019-02-21 00:00:00
2733451  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT  RECOVR AUD  11326562  2224045 2019-02-21 00:00:00
2733452  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459864      599 2019-02-21 04:00:00
2733453  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT  RECOVR AUD  11326577  2224046 2019-02-21 04:00:00
2733454  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459864      608 2019-02-21 08:00:00
2733455  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT  RECOVR AUD  11326610  2224050 2019-02-21 08:00:00
2733456  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459864      762 2019-02-21 12:00:00
2733457  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT  RECOVR AUD  11326960  2224140 2019-02-21 12:00:00
2733458  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459866      974 2019-02-21 16:00:00
2733459  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459866     1176 2019-02-21 20:00:00
2733460  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459866     1193 2019-02-22 00:00:00
2733461  A046  R463  00-06-02  CANAL ST  JNQRZ6W  BMT     REGULAR    459866     1197 2019-02-22 04:00:00



         area  unit       scp       station lines  div        desc        i        o                  dt
3200381  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT     REGULAR  3390358  1725682 2017-12-28 16:00:00
3200382  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-28 18:00:00
3200383  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-28 19:00:00
3200384  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT     REGULAR  3390649  1725707 2017-12-28 20:00:00
3200385  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-28 20:00:00
3200386  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-28 21:00:00
3200387  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-28 22:00:00
