       area  unit       scp station    lines  div        desc        i        o                  dt
3200399  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-29 08:00:00
3200400  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT  RECOVR AUD        0        0 2017-12-29 09:00:00
3200401  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT     REGULAR  3390804  1725762 2017-12-29 12:00:00
3200402  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT     REGULAR  3391052  1725787 2017-12-29 16:00:00
3200403  A050  R088  00-02-00  CORTLANDT ST   RNW  BMT     REGULAR  3391347  1725814 2017-12-29 20:00:00



         area  unit       scp          station lines  div        desc        i        o                  dt
3767712  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  3612010  2400704 2018-09-13 17:00:00
3767713  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  3612587  2401144 2018-09-13 21:00:00
3767714  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  3612787  2401262 2018-09-14 01:00:00
3767715  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  3612847  2401282 2018-09-14 05:00:00
3767716  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT  RECOVR AUD  3612845  2401282 2018-09-14 05:00:00
3767717  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  3613677  2401388 2018-09-14 09:00:00
3767718  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  3614289  2401605 2018-09-14 13:00:00
3767719  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  3615046  2401914 2018-09-14 17:00:00
3767720  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  3615677  2402323 2018-09-14 21:00:00



         area  unit       scp          station lines  div        desc        i        o                  dt
3771960  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  5096203  2942430 2020-08-01 01:00:00
3771961  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT  RECOVR AUD  5096207  2942437 2020-08-01 05:00:00
3771962  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  5096256  2942459 2020-08-01 09:00:00
3771963  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  5096346  2942496 2020-08-01 13:00:00
3771964  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT  RECOVR AUD  1900650  4426210 2020-08-01 13:00:00
3771965  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  5096497  2942568 2020-08-01 17:00:00
3771966  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  5096661  2942639 2020-08-01 21:00:00
3771967  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  5096729  2942664 2020-08-02 01:00:00
3771968  A060  R001  00-00-00  WHITEHALL S-FRY   R1W  BMT     REGULAR  5096731  2942669 2020-08-02 05:00:00



         area  unit       scp          station lines  div        desc        i        o                  dt
3782936  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  2968663  1965027 2018-09-13 17:00:00
3782937  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  2969165  1965500 2018-09-13 21:00:00
3782938  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  2969295  1965636 2018-09-14 01:00:00
3782939  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  2969337  1965665 2018-09-14 05:00:00
3782940  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT  RECOVR AUD  2969335  1965665 2018-09-14 05:00:00
3782941  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  2969890  1965784 2018-09-14 09:00:00
3782942  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  2970361  1965986 2018-09-14 13:00:00
3782943  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  2971017  1966327 2018-09-14 17:00:00
3782944  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  2971568  1966721 2018-09-14 21:00:00



         area  unit       scp          station lines  div        desc        i        o                  dt
3787185  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  4028949  2540369 2020-08-01 01:00:00
3787186  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT  RECOVR AUD  4028949  2540373 2020-08-01 05:00:00
3787187  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  4028994  2540386 2020-08-01 09:00:00
3787188  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  4029038  2540438 2020-08-01 13:00:00
3787189  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT  RECOVR AUD  2147673  1697127 2020-08-01 13:00:00
3787190  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  4029118  2540514 2020-08-01 17:00:00
3787191  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  4029187  2540564 2020-08-01 21:00:00
3787192  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  4029213  2540604 2020-08-02 01:00:00
3787193  A060  R001  00-00-01  WHITEHALL S-FRY   R1W  BMT     REGULAR  4029213  2540607 2020-08-02 05:00:00



         area  unit       scp         station lines  div        desc         i         o                  dt
3887300  A061  R142  00-00-00  DELANCEY/ESSEX  FJMZ  BMT     REGULAR  11712015  11052380 2017-10-26 21:00:00
3887301  A061  R142  00-00-00  DELANCEY/ESSEX  FJMZ  BMT     REGULAR  11712243  11052481 2017-10-27 01:00:00
3887302  A061  R142  00-00-00  DELANCEY/ESSEX  FJMZ  BMT     REGULAR  11712290  11052504 2017-10-27 05:00:00
3887303  A061  R142  00-00-00  DELANCEY/ESSEX  FJMZ  BMT     REGULAR  11713087  11053057 2017-10-27 09:00:00
3887304  A061  R142  00-00-00  DELANCEY/ESSEX  FJMZ  BMT  RECOVR AUD   1059658   1936619 2017-10-27 09:00:00
3887305  A061  R142  00-00-00  DELANCEY/ESSEX  FJMZ  BMT     REGULAR  11713671  11053372 2017-10-27 13:00:00
3887306  A061  R142  00-00-00  DELANCEY/ESSEX  FJMZ  BMT     REGULAR  11714474  11053653 2017-10-27 17:00:00
3887307  A061  R142  00-00-00  DELANCEY/ESSEX  FJMZ  BMT     REGULAR  11715198  11053953 2017-10-27 21:00:00
3887308  A061  R142  00-00-00  DELANCEY/ESSEX  FJMZ  BMT     REGULAR  11715485  11054126 2017-10-28 01:00:00



         area  unit       scp station lines  div        desc        i        o                  dt
4028154  A064  R311  00-03-01  BOWERY    JZ  BMT     REGULAR  6956354  7275829 2020-08-16 20:00:00
4028155  A064  R311  00-03-01  BOWERY    JZ  BMT     REGULAR        0        6 2020-08-17 04:00:00
4028156  A064  R311  00-03-01  BOWERY    JZ  BMT     REGULAR       22       44 2020-08-17 08:00:00
4028157  A064  R311  00-03-01  BOWERY    JZ  BMT     REGULAR      109      143 2020-08-17 12:00:00
4028158  A064  R311  00-03-01  BOWERY    JZ  BMT  RECOVR AUD  6956396  7275960 2020-08-17 12:00:00
4028159  A064  R311  00-03-01  BOWERY    JZ  BMT     REGULAR  6956397  7276075 2020-08-17 16:00:00
4028160  A064  R311  00-03-01  BOWERY    JZ  BMT  RECOVR AUD      231      214 2020-08-17 16:00:00
4028161  A064  R311  00-03-01  BOWERY    JZ  BMT     REGULAR  6956419  7276166 2020-08-17 20:00:00
4028162  A064  R311  00-03-01  BOWERY    JZ  BMT     REGULAR  6956493  7276220 2020-08-18 00:00:00
4028163  A064  R311  00-03-01  BOWERY    JZ  BMT     REGULAR  6956502  7276229 2020-08-18 04:00:00
4028164  A064  R311  00-03-01  BOWERY    JZ  BMT     REGULAR  6956513  7276292 2020-08-18 08:00:00



         area  unit       scp      station  lines  div        desc      i      o                  dt
4184484  A071  R044  02-00-00  CHAMBERS ST  JZ456  BMT     REGULAR  39470  17109 2015-02-23 15:00:00
4184485  A071  R044  02-00-00  CHAMBERS ST  JZ456  BMT     REGULAR  39597  17118 2015-02-23 19:00:00
4184486  A071  R044  02-00-00  CHAMBERS ST  JZ456  BMT     REGULAR  39601  17122 2015-02-23 23:00:00
4184487  A071  R044  02-00-00  CHAMBERS ST  JZ456  BMT     REGULAR  39602  17122 2015-02-24 03:00:00
4184488  A071  R044  02-00-00  CHAMBERS ST  JZ456  BMT  RECOVR AUD  39670  16898 2015-02-24 03:00:00
4184489  A071  R044  02-00-00  CHAMBERS ST  JZ456  BMT     REGULAR  39602  17123 2015-02-24 07:00:00
4184490  A071  R044  02-00-00  CHAMBERS ST  JZ456  BMT     REGULAR  39604  17142 2015-02-24 11:00:00
4184491  A071  R044  02-00-00  CHAMBERS ST  JZ456  BMT     REGULAR  39616  17156 2015-02-24 15:00:00
4184492  A071  R044  02-00-00  CHAMBERS ST  JZ456  BMT     REGULAR  39741  17163 2015-02-24 19:00:00



         area  unit       scp        station lines  div        desc        i        o                  dt
5287276  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT     REGULAR  5583982  3965010 2016-10-07 12:00:00
5287277  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT     REGULAR  5584133  3965131 2016-10-07 16:00:00
5287278  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT     REGULAR  5584269  3965503 2016-10-07 20:00:00
5287279  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT     REGULAR  5584538  3965712 2016-10-08 00:00:00
5287280  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT  RECOVR AUD  4677747  8674987 2016-10-08 00:00:00
5287281  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT     REGULAR  5584557  3965766 2016-10-08 04:00:00
5287282  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT     REGULAR  5584642  3965769 2016-10-08 08:00:00
5287283  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT  RECOVR AUD  4677823  8675211 2016-10-08 08:00:00
5287284  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT     REGULAR  4678038  8675332 2016-10-08 12:00:00
5287285  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT     REGULAR  4678198  8675621 2016-10-08 16:00:00
5287286  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT     REGULAR  4678306  8676076 2016-10-08 20:00:00
5287287  B017  R262  00-00-02  BEVERLEY ROAD    BQ  BMT     REGULAR  4678442  8676471 2016-10-09 00:00:00



         area  unit       scp        station lines  div        desc         i         o                  dt
5412518  B019  R149  00-00-04  NEWKIRK PLAZA    BQ  BMT     REGULAR  16351557  10305259 2019-04-08 17:00:00
5412519  B019  R149  00-00-04  NEWKIRK PLAZA    BQ  BMT     REGULAR  16351964  10305828 2019-04-08 21:00:00
5412520  B019  R149  00-00-04  NEWKIRK PLAZA    BQ  BMT     REGULAR  16352054  10306059 2019-04-09 01:00:00
5412521  B019  R149  00-00-04  NEWKIRK PLAZA    BQ  BMT     REGULAR  16352089  10306078 2019-04-09 05:00:00
5412522  B019  R149  00-00-04  NEWKIRK PLAZA    BQ  BMT  RECOVR AUD  16352089  10306077 2019-04-09 05:00:00
5412523  B019  R149  00-00-04  NEWKIRK PLAZA    BQ  BMT     REGULAR  16353204  10306188 2019-04-09 09:00:00
5412524  B019  R149  00-00-04  NEWKIRK PLAZA    BQ  BMT     REGULAR  16353824  10306317 2019-04-09 13:00:00
5412525  B019  R149  00-00-04  NEWKIRK PLAZA    BQ  BMT     REGULAR  16354267  10306660 2019-04-09 17:00:00
5412526  B019  R149  00-00-04  NEWKIRK PLAZA    BQ  BMT     REGULAR  16354684  10307405 2019-04-09 21:00:00



         area  unit       scp   station lines  div        desc          i       o                  dt
5557417  B020  R263  00-06-00  AVENUE H    BQ  BMT     REGULAR      24036  140187 2016-05-30 00:00:00
5557418  B020  R263  00-06-00  AVENUE H    BQ  BMT     REGULAR      24036  140187 2016-05-30 04:00:00
5557419  B020  R263  00-06-00  AVENUE H    BQ  BMT     REGULAR      24036  140187 2016-05-30 08:00:00
5557420  B020  R263  00-06-00  AVENUE H    BQ  BMT     REGULAR  117440532       0 2016-05-30 12:00:00
5557421  B020  R263  00-06-00  AVENUE H    BQ  BMT  RECOVR AUD      24036  140187 2016-05-30 12:00:00
5557422  B020  R263  00-06-00  AVENUE H    BQ  BMT     REGULAR      24036  140187 2016-05-30 16:00:00
5557423  B020  R263  00-06-00  AVENUE H    BQ  BMT     REGULAR      24036  140187 2016-05-30 20:00:00
5557424  B020  R263  00-06-00  AVENUE H    BQ  BMT     REGULAR      24036  140188 2016-05-31 00:00:00
5557425  B020  R263  00-06-00  AVENUE H    BQ  BMT     REGULAR      24036  140188 2016-05-31 04:00:00



         area  unit       scp   station lines  div        desc      i      o                  dt
5572458  B020  R263  00-06-01  AVENUE H    BQ  BMT     REGULAR  17722  52981 2016-05-30 00:00:00
5572459  B020  R263  00-06-01  AVENUE H    BQ  BMT     REGULAR  17722  52981 2016-05-30 04:00:00
5572460  B020  R263  00-06-01  AVENUE H    BQ  BMT     REGULAR  17722  52981 2016-05-30 08:00:00
5572461  B020  R263  00-06-01  AVENUE H    BQ  BMT     REGULAR      2    185 2016-05-30 12:00:00
5572462  B020  R263  00-06-01  AVENUE H    BQ  BMT  RECOVR AUD  17722  52981 2016-05-30 12:00:00
5572463  B020  R263  00-06-01  AVENUE H    BQ  BMT     REGULAR  17722  52981 2016-05-30 16:00:00
5572464  B020  R263  00-06-01  AVENUE H    BQ  BMT     REGULAR  17722  52981 2016-05-30 20:00:00
5572465  B020  R263  00-06-01  AVENUE H    BQ  BMT     REGULAR  17722  52981 2016-05-31 00:00:00
5572466  B020  R263  00-06-01  AVENUE H    BQ  BMT     REGULAR  17722  52981 2016-05-31 04:00:00



         area  unit       scp    station lines  div        desc       i  o                  dt
6138393  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-04-30 12:00:00
6138394  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-04-30 16:00:00
6138395  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-04-30 20:00:00
6138396  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-01 00:00:00
6138397  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      11  0 2021-05-01 00:00:00
6138398  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-01 04:00:00
6138399  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-01 08:00:00
6138400  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      12  0 2021-05-01 08:00:00
6138401  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-01 12:00:00
6138402  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      12  0 2021-05-01 12:00:00
6138403  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-01 16:00:00
6138404  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      13  0 2021-05-01 16:00:00
6138405  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-01 20:00:00
6138406  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      13  0 2021-05-01 20:00:00
6138407  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-02 00:00:00
6138408  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      13  0 2021-05-02 00:00:00
6138409  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-02 04:00:00
6138410  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      13  0 2021-05-02 04:00:00
6138411  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-02 08:00:00
6138412  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      13  0 2021-05-02 08:00:00
6138413  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-02 12:00:00
6138414  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      13  0 2021-05-02 12:00:00
6138415  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-02 16:00:00
6138416  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      13  0 2021-05-02 16:00:00
6138417  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-02 20:00:00
6138418  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      15  0 2021-05-02 20:00:00
6138419  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-03 00:00:00
6138420  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      15  0 2021-05-03 00:00:00
6138421  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-03 04:00:00
6138422  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-03 08:00:00
6138423  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      15  0 2021-05-03 08:00:00
6138424  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-03 12:00:00
6138425  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      16  0 2021-05-03 12:00:00
6138426  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-03 16:00:00
6138427  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      16  0 2021-05-03 16:00:00
6138428  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-03 20:00:00
6138429  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      16  0 2021-05-03 20:00:00
6138430  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-04 00:00:00
6138431  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      16  0 2021-05-04 00:00:00
6138432  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-04 04:00:00
6138433  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-04 08:00:00
6138434  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      17  0 2021-05-04 08:00:00
6138435  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-04 12:00:00
6138436  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      18  0 2021-05-04 12:00:00
6138437  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-04 16:00:00
6138438  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      19  0 2021-05-04 16:00:00
6138439  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-04 20:00:00
6138440  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      19  0 2021-05-04 20:00:00
6138441  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-05 00:00:00
6138442  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      19  0 2021-05-05 00:00:00
6138443  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-05 04:00:00
6138444  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      19  0 2021-05-05 04:00:00
6138445  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-05 08:00:00
6138446  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      19  0 2021-05-05 08:00:00
6138447  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-05 12:00:00
6138448  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      21  0 2021-05-05 12:00:00
6138449  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-05 16:00:00
6138450  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      21  0 2021-05-05 16:00:00
6138451  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-05 20:00:00
6138452  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      21  0 2021-05-05 20:00:00
6138453  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-06 00:00:00
6138454  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      21  0 2021-05-06 00:00:00
6138455  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-06 04:00:00
6138456  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-06 08:00:00
6138457  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      21  0 2021-05-06 08:00:00
6138458  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-06 12:00:00
6138459  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      22  0 2021-05-06 12:00:00
6138460  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-06 16:00:00
6138461  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      22  0 2021-05-06 16:00:00
6138462  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-06 20:00:00
6138463  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      22  0 2021-05-06 20:00:00
6138464  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-07 00:00:00
6138465  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      22  0 2021-05-07 00:00:00
6138466  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-07 04:00:00
6138467  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-07 08:00:00
6138468  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      22  0 2021-05-07 08:00:00
6138469  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR  262152  0 2021-05-07 12:00:00
6138470  B024  R211  00-05-00  KINGS HWY    BQ  BMT  RECOVR AUD      23  0 2021-05-07 12:00:00
6138471  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR      25  0 2021-05-07 16:00:00
6138472  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR      25  0 2021-05-07 20:00:00
6138473  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR      25  0 2021-05-08 00:00:00
6138474  B024  R211  00-05-00  KINGS HWY    BQ  BMT     REGULAR      25  0 2021-05-08 04:00:00



         area  unit       scp         station lines  div        desc        i      o                  dt
6541002  B028  R136  01-00-01  SHEEPSHEAD BAY    BQ  BMT     REGULAR   271830  99297 2021-01-07 16:00:00
